length	method1	method2	method3	method4
1	11	4	23	6
6	31	8	56	31
11	51	13	98	56
16	71	8	126	81
21	91	13	168	106
26	111	53	259	131
31	131	13	238	156
36	151	8	266	181
41	171	13	308	206
46	191	18	350	231
51	211	8	371	256
56	231	8	406	281
61	251	8	441	306
66	271	13	483	331
71	291	8	511	356
76	311	13	553	381
81	331	8	581	406
86	351	8	616	431
91	371	8	651	456
96	391	8	686	481
101	411	8	721	506
106	431	13	763	531
111	451	8	791	556
116	471	13	833	581
121	491	8	861	606
126	511	13	903	631
131	531	13	938	656
136	551	8	966	681
141	571	8	1001	706
146	591	8	1036	731
151	611	23	1092	756
156	631	13	1113	781
161	651	8	1141	806
166	671	18	1190	831
171	691	8	1211	856
176	711	8	1246	881
181	731	8	1281	906
186	751	28	1344	931
191	771	18	1365	956
196	791	8	1386	981
201	811	18	1435	1006
206	831	8	1456	1031
211	851	8	1491	1056
216	871	8	1526	1081
221	891	13	1568	1106
226	911	23	1617	1131
231	931	8	1631	1156
236	951	8	1666	1181
241	971	8	1701	1206
246	991	8	1736	1231
251	1011	23	1792	1256
256	1031	8	1806	1281
261	1051	13	1848	1306
266	1071	48	1932	1331
271	1091	18	1925	1356
276	1111	23	1967	1381
281	1131	13	1988	1406
286	1151	8	2016	1431
291	1171	8	2051	1456
296	1191	8	2086	1481
301	1211	18	2135	1506
306	1231	18	2170	1531
311	1251	13	2198	1556
316	1271	8	2226	1581
321	1291	8	2261	1606
326	1311	8	2296	1631
331	1331	13	2338	1656
336	1351	8	2366	1681
341	1371	18	2415	1706
346	1391	13	2443	1731
351	1411	8	2471	1756
356	1431	13	2513	1781
361	1451	13	2548	1806
366	1471	13	2583	1831
371	1491	18	2625	1856
376	1511	8	2646	1881
381	1531	8	2681	1906
386	1551	18	2730	1931
391	1571	8	2751	1956
396	1591	18	2800	1981
401	1611	8	2821	2006
406	1631	8	2856	2031
411	1651	18	2905	2056
416	1671	13	2933	2081
421	1691	13	2968	2106
426	1711	18	3010	2131
431	1731	8	3031	2156
436	1751	13	3073	2181
441	1771	8	3101	2206
446	1791	8	3136	2231
451	1811	8	3171	2256
456	1831	13	3213	2281
461	1851	18	3255	2306
466	1871	8	3276	2331
471	1891	8	3311	2356
476	1911	18	3360	2381
481	1931	8	3381	2406
486	1951	8	3416	2431
491	1971	8	3451	2456
496	1991	8	3486	2481
501	2011	13	3528	2506
506	2031	8	3556	2531
511	2051	8	3591	2556
516	2071	23	3647	2581
521	2091	8	3661	2606
526	2111	18	3710	2631
531	2131	18	3745	2656
536	2151	8	3766	2681
541	2171	8	3801	2706
546	2191	13	3843	2731
551	2211	38	3913	2756
556	2231	18	3920	2781
561	2251	13	3948	2806
566	2271	8	3976	2831
571	2291	13	4018	2856
576	2311	8	4046	2881
581	2331	13	4088	2906
586	2351	13	4123	2931
591	2371	8	4151	2956
596	2391	8	4186	2981
601	2411	23	4242	3006
606	2431	18	4270	3031
611	2451	8	4291	3056
616	2471	18	4340	3081
621	2491	23	4382	3106
626	2511	8	4396	3131
631	2531	13	4438	3156
636	2551	18	4480	3181
641	2571	8	4501	3206
646	2591	13	4543	3231
651	2611	13	4578	3256
656	2631	13	4613	3281
661	2651	8	4641	3306
666	2671	28	4704	3331
671	2691	8	4711	3356
676	2711	8	4746	3381
681	2731	13	4788	3406
686	2751	8	4816	3431
691	2771	8	4851	3456
696	2791	28	4914	3481
701	2811	8	4921	3506
706	2831	13	4963	3531
711	2851	13	4998	3556
716	2871	13	5033	3581
721	2891	8	5061	3606
726	2911	8	5096	3631
731	2931	13	5138	3656
